movie_production_year,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name
2009,15000000,33392973,5119877,1/1/2009,Fantasy,Original Screenplay,Live Action,Horror
2015,15000000,42725475,19039634,1/1/2015,Fantasy,Original Screenplay,Live Action,Black Comedy
2009,15000000,5306706,29800000,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2010,15000000,64003625,12950686,1/1/2010,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2004,15000000,10411980,4400000,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Drama
2007,15000000,9396870,1554283,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2012,15000000,42930462,14977272,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2014,15000000,91125143,136648543,1/1/2014,Dramatization,Based on Factual Book/Article,Live Action,Drama
2012,15000000,9177065,130101,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2011,15000000,13843771,45324921,1/1/2011,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2006,15000000,8117637,107361,1/1/2006,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2008,15000000,2203641,4175934,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2003,15000000,2281585,1114923,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Drama
2007,15000000,58269151,19245250,1/1/2007,Fantasy,Original Screenplay,Live Action,Horror
2009,15000000,32752215,12730721,1/1/2009,Contemporary Fiction,Remake,Live Action,Horror
2014,15000000,37880356,14621185,1/1/2014,Dramatization,Based on Factual Book/Article,Live Action,Drama
2003,15000000,34308901,190303,1/1/2003,Contemporary Fiction,Based on TV,Live Action,Comedy
2007,15000000,9176787,9976781,1/1/2007,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2005,15000000,4235837,12593627,1/1/2005,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2009,15000000,33862903,6264356,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2008,15000000,102458,7480592,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Action
2010,15000000,2419730,8739066,1/1/2010,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2005,15000000,31585300,15448043,1/1/2005,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy
2008,15000000,7800825,26732958,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2011,15000000,54333290,74622608,1/1/2011,Fantasy,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2009,15000000,32011576,77000000,1/1/2009,Factual,Based on TV,Live Action,Documentary
2007,15000000,30226144,35149,1/1/2007,Dramatization,Based on Real Life Events,Live Action,Drama
2011,15000000,30680,1117898,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Drama
2010,15000000,26167002,1302619,1/1/2010,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2006,15000000,1200216,10399687,1/1/2006,Science Fiction,Original Screenplay,Live Action,Action
2014,15000000,17237855,18831035,1/1/2014,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2006,15250000,7802450,5127893,1/1/2006,Science Fiction,Original Screenplay,Live Action,Horror
2007,15500000,10299782,78312055,1/1/2007,Dramatization,Based on Real Life Events,Live Action,Drama
2002,15600000,13571817,200000,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2012,16000000,2322593,20271459,1/1/2012,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2006,16000000,39517763,11000000,1/1/2006,Historical Fiction,Remake,Live Action,Horror
2005,16000000,1666262,1144595,1/1/2005,Historical Fiction,Original Screenplay,Live Action,Drama
2007,16000000,23618786,58123832,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2002,16000000,4839383,10000000,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2011,16000000,12431792,88012,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Drama
2010,16000000,37300107,15245600,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense
2010,16000000,337997,1129281,1/1/2010,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama
2011,16000000,3361,91451,1/1/2011,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2007,16000000,3287315,4832833,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Drama
2011,16000000,44667095,83589617,1/1/2011,Historical Fiction,Original Screenplay,Live Action,Drama
2001,16000000,27087695,3900000,1/1/2001,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2013,16000000,2013456,5571555,1/1/2013,Historical Fiction,Original Screenplay,Live Action,Drama
2009,16000000,16204793,15738608,1/1/2009,Fantasy,Original Screenplay,Live Action,Thriller/Suspense
2007,16000000,35374833,18400000,1/1/2007,Fantasy,Original Screenplay,Live Action,Horror
2009,16000000,42670410,35538402,1/1/2009,Fantasy,Original Screenplay,Live Action,Horror
2014,16000000,14019924,6749285,1/1/2014,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense
2006,16000000,37634615,49406954,1/1/2006,Historical Fiction,Original Screenplay,Live Action,Horror
2014,16000000,2429989,1012864,1/1/2014,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Western
2001,16000000,33357476,9700076,1/1/2001,Kids Fiction,Original Screenplay,Live Action,Comedy
2010,16000000,19068240,37437880,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Drama
2008,16000000,23216709,81288108,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,16000000,26902075,23201733,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2008,16000000,1477650,245996847,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2002,16000000,16357770,5300000,1/1/2002,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2004,16000000,13922211,631596,1/1/2004,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2011,16000000,45512466,23069629,1/1/2011,Historical Fiction,Original Screenplay,Live Action,Drama
2003,16500000,13005485,3152438,1/1/2003,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2007,16500000,18663911,20716965,1/1/2007,Dramatization,Based on Real Life Events,Live Action,Romantic Comedy
2006,16500000,39868642,43923420,1/1/2006,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2007,16500000,11702090,1743924,1/1/2007,Contemporary Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Comedy
2015,16800000,6469813,686154,1/1/2015,Dramatization,Based on Comic/Graphic Novel,Live Action,Drama
2006,16800000,223202,2057887,1/1/2006,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama
2010,17000000,2231474,3400000,1/1/2010,Historical Fiction,Original Screenplay,Hand Animation,Adventure
2013,17000000,70525195,2310515,1/1/2013,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2014,17000000,44480275,1227649,1/1/2014,Dramatization,Based on Real Life Events,Live Action,Drama
2001,17000000,96522687,111242369,1/1/2001,Historical Fiction,Original Screenplay,Live Action,Horror
2003,17000000,1569918,7868156,1/1/2003,Dramatization,Based on Real Life Events,Live Action,Drama
2002,17000000,53652140,123883818,1/1/2002,Historical Fiction,Original Screenplay,Live Action,Action
2002,17000000,37939782,57152885,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2006,17000000,7156725,9196944,1/1/2006,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy
2009,17000000,27163593,12069640,1/1/2009,Contemporary Fiction,Remake,Live Action,Thriller/Suspense
2008,17000000,7070641,1537174,1/1/2008,Contemporary Fiction,Original Screenplay,Live Action,Drama
2006,17000000,6855137,1490140,1/1/2006,Contemporary Fiction,Original Screenplay,Live Action,Action
2009,17000000,8665206,11800000,1/1/2009,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy
2003,17000000,37654781,7644471,1/1/2003,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Comedy
2014,17000000,195792,570320,1/1/2014,Historical Fiction,Original Screenplay,Live Action,Drama
2006,17000000,41778863,28576950,1/1/2006,Contemporary Fiction,Remake,Live Action,Horror
2009,17000000,27865571,10162659,1/1/2009,Fantasy,Original Screenplay,Live Action,Drama
2009,17000000,65002019,27668218,1/1/2009,Fantasy,Spin-Off,Live Action,Horror
2003,17000000,22734486,1000000,1/1/2003,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2007,17000000,35662731,21600709,1/1/2007,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2004,17000000,71502303,38290889,1/1/2004,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama
2002,17000000,12840842,3300000,1/1/2002,Contemporary Fiction,Original Screenplay,Live Action,Horror
2010,17000000,45710178,88025106,1/1/2010,Contemporary Fiction,Original Screenplay,Live Action,Horror
2014,17000000,82390774,54500000,1/1/2014,Contemporary Fiction,Original Screenplay,Live Action,Comedy
2012,17000000,54239856,43538500,1/1/2012,Fantasy,Remake,Live Action,Horror
