"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"12",554430,"Wheeler, Zack","2021-05-12","98","12.2","0.500","0.500","0.500","1.000","0.615","0.513","0.451","3","6","102.4","10.0","2269","92.3","93.97","0","8","4","1.7","7.19","108","146","109","142","298","312","289"
"11",621111,"Buehler, Walker","2021-05-22","105","10.5","0.000","0.000","0.000","0.000","0.000","0.051","0.055","0","3","79.8","2.3","2745","88.5","88.85","0","5","6","0.3","6.47","117","159","125","154","299","323","312"
"11",621111,"Buehler, Walker","2021-04-22","101","10.9","0.250","0.750","0.000","1.000","0.502","0.886","0.529","1","4","101.4","25.3","2846","89.6","89.90","0","6","5","0.3","6.53","121","159","126","150","300","314","305"
"11",621111,"Buehler, Walker","2021-06-29","113","9.7","0.000","0.000","0.000","0.000","0.000","0.303","0.225","0","3","86.1","32.0","2349","89.2","89.36","3","7","4","0.2","6.28","120","166","130","151","291","315","298"
"11",621111,"Buehler, Walker","2021-05-11","91","12.1","0.250","0.750","0.000","1.000","0.502","0.282","0.162","1","4","84.9","21.3","2687","91.8","92.31","0","6","5","0.5","6.45","120","169","114","151","296","318","294"
"11",621111,"Buehler, Walker","2021-08-20","107","10.3","0.000","0.000","0.000","0.000","0.000","0.238","0.251","0","3","97.9","-12.3","2230","92.1","92.69","0","4","7","0.6","6.36","123","169","116","153","296","314","295"
"11",592836,"Walker, Taijuan","2021-08-03","93","11.8","0.333","0.000","0.500","0.333","0.293","0.332","0.268","1","3","93.3","11.5","2125","93.8","93.11","2","6","5","-0.7","6.02","104","150","119","146","309","329","289"
"11",608331,"Fried, Max","2021-09-07","96","11.5","0.250","0.000","0.333","0.250","0.220","0.318","0.354","1","4","79.0","13.7","2268","84.6","85.01","1","4","7","0.4","6.45","104","153","119","151","312","324","294"
"11",621111,"Buehler, Walker","2021-08-25","106","10.4","0.000","0.000","0.000","0.000","0.000","0.145","0.148","0","3","81.7","27.0","2325","92.6","92.86","3","7","4","0.3","6.34","122","156","115","151","304","325","293"
"11",663556,"McClanahan, Shane","2021-08-07","92","12.0","0.000","0.000","0.000","0.000","0.000","0.670","0.453","0","3","101.7","20.0","2411","89.9","90.55","2","6","5","0.7","6.67","103","153","118","148","306","319","285"
"11",592836,"Walker, Taijuan","2021-09-11","103","10.7","0.000","0.000","0.000","0.000","0.000","0.225","0.130","0","3","89.6","14.0","2065","90.4","90.18","1","5","6","-0.2","5.97","119","173","120","152","302","326","301"
"11",608331,"Fried, Max","2021-08-03","98","11.2","0.000","0.000","0.000","0.000","0.000","0.115","0.128","0","3","105.0","-4.0","2178","88.6","88.45","3","7","4","-0.1","6.37","109","155","120","147","308","324","304"
"11",554430,"Wheeler, Zack","2021-04-14","108","10.2","0.400","0.000","0.500","0.400","0.352","0.211","0.221","2","5","77.3","25.5","2245","92.4","94.05","2","9","2","1.7","7.07","98","144","106","147","292","312","298"
"11",554430,"Wheeler, Zack","2021-04-26","114","9.6","0.000","0.000","0.000","0.000","0.231","0.252","0.036","0","2","25.1","56.0","2409","94.7","96.50","1","5","6","1.8","7.24","111","143","104","148","305","317","302"
